"","lon","lat"
"185",-116.419389,34.9592083
"186",-93.6249593,41.5868353
"187",-81.2452768,42.9849233
"188",-122.2363548,37.4852152
"189",-122.2363548,37.4852152
"190",-94.7696708,36.2667502
"191",-84.3879824,33.7489954
"192",-81.1637245,33.836081
"193",-71.0588801,42.3600825
"194",-122.6587185,45.5122308
"195",-122.6587185,45.5122308
"196",-86.5804473,35.5174913
"197",-74.0059728,40.7127753
"198",-122.9365835,45.5200114
"199",-79.3831843,43.653226
"200",-79.3831843,43.653226
"201",-99.9018131,31.9685988
"202",-76.6412712,39.0457549
"203",-76.6412712,39.0457549
"204",-76.6412712,39.0457549
"205",-98.4936282,29.4241219
"206",-2.13125,49.214439
"207",-86.1349019,40.2671941
"208",-117.6508876,34.0633443
"209",-81.5157535,27.6648274
"210",-112.3496021,33.4355977
"211",-84.2700179,37.8393332
"212",-121.8863286,37.3382082
"213",-95.712891,37.09024
"214",-95.712891,37.09024
"215",-73.087749,41.6032207
"216",-96.7969879,32.7766642
"217",-96.7969879,32.7766642
"218",-95.3698028,29.7604267
"219",-81.5157535,27.6648274
"220",NA,NA
"221",NA,NA
"222",-81.5157535,27.6648274
"223",-82.9987942,39.9611755
"224",-82.5369872,28.4831682
"225",-93.8457255,30.0207678
"226",-93.2009998,44.9374831
"227",-104.990251,39.7392358
"228",-118.1669736,34.0224417
"229",-83.1499239,42.2142064
"230",-73.567256,45.5016889
"231",-73.567256,45.5016889
"232",-84.3879824,33.7489954
"233",-95.712891,37.09024
"234",-74.0059728,40.7127753
"235",-2.13125,49.214439
"236",-72.749538,42.1250929
"237",-120.7401385,47.7510741
"238",-79.3831843,43.653226
"239",-74.0059728,40.7127753
"240",-97.7430608,30.267153
"241",-75.7012723,45.4765446
"242",-75.7012723,45.4765446
"243",-73.9712488,40.7830603
"244",-96.482203,31.6798895
"245",-3.8080783,53.0711149
"246",-81.5157535,27.6648274
"247",-81.5157535,27.6648274
"248",-7.6920536,53.1423672
"249",-95.3698028,29.7604267
"250",NA,NA
"251",-77.4360481,37.5407246
"252",-74.0059728,40.7127753
