"","long","lat"
"193",-122.558162,45.573063
"194",-122.559568,45.482571
"195",-122.690285,45.539303
"196",-122.492876,45.500717
"197",-122.513773,45.498437
"198",-122.604866,45.562705
"199",-122.594892,45.504263
"200",-122.644922,45.504596
"201",-122.750843,45.601985
"202",-122.674195,45.549796
"203",-122.4902,45.515326
"204",-122.613176,45.516946
"205",-122.747925,45.588801
"206",-122.705829,45.588354
"207",-122.581453,45.544023
"208",-122.685897,45.536583
"209",-80.20659041,25.75610846
"210",-122.34505567,47.70637431
"211",-80.0762,42.1145
"212",-80.0762,42.1145
"213",-80.0762,42.1145
"214",-80.0762,42.1145
"215",-73.9448166,40.7155609
"216",-111.789,34.8599
"217",-85.64103652,38.09947972
"218",-104.9432,39.9126
"219",-108.507636,45.782429
"220",-122.862,42.332
"221",-122.862,42.332
"222",-75.2972,39.8883
"223",-96.75798,35.98481
"224",-74.046402,41.8894691
"225",-84.0883,39.6376
"226",-83.07743996,42.32945828
"227",-122.40294686,37.71235651
"228",-122.18635,47.61606
"229",-73.73569,40.94889
"230",-98.5,29.4167
"231",-118.27582489,34.08840016
"232",-71.7779,42.2689
"233",-72.7,41.6
"234",-74.06896,40.71547
"235",-78.93822536,37.91618231
"236",-73.0369,41.5583
"237",-79.06433,43.10664
"238",-76.88746222,42.40752309
"239",-97.1932,33.0005
"240",-85.66509541,30.18758221
"241",-81.30775452,28.43035481
"242",-85.7052474,33.15264646
"243",-87.63588487,41.87876823
"244",-82.293251,27.9344444
"245",-98.87194444,30.27416667
"246",-115.17144575,36.11621692
"247",-94.58514,39.04638
"248",-97.1303711,31.5506001
"249",-83.4153,41.1592
"250",-104.9229658,37.8326651
"251",-118.35412645,34.13831062
"252",-77.4564,37.5811
"253",-88.1136,43.0605
"254",-88.24908159,40.10076904
"255",-88.267448,30.6635326
"256",-82.4576,28.22654
"257",-73.98661,40.76344
"258",-117.24743233,32.74163935
"259",-73.94111111,40.68333333
"260",-92.26794,34.75754
"261",-122.871515,45.539184
"262",-96.7977,32.7774
"263",-80.16747,42.0925299
"264",-122.14231582,47.7051528
"265",-97.74031859,30.27942737
"266",-86.3384,41.9472
"267",-111.07427917,45.67070719
"268",-75.32121306,40.02314028
"269",-87.6156015,41.89388471
"270",-121.4947,38.577
"271",-94.22072,36.38591
"272",-77.03660488,38.89684467
"273",-76.6117,40.1472
"274",-78.8494,42.9047
"275",-87.64,41.95
"276",-80.3741728,25.7982604
"277",-80.3740858,25.7982546
"278",-80.3740858,25.7982546
"279",-110.8850949,32.2107257
"280",-73.6421,41.1939
"281",-75.31297894,40.08613028
"282",-75.0668523,39.92469992
"283",-104.8579,39.3724
"284",-95.567,30.1738
"285",-79.0556,35.913
"286",-76.6512,40.2784
"287",-93.3625,43.1444
"288",-73.97673575,40.68461674
"289",-76.39,36.87
"290",-73.9675,40.7779
"291",-78.79837,42.24916
"292",-118.243,34.0522
"293",-105.111,39.82
"294",-93.4461,38.31
"295",-96.78450464,33.08012017
"296",-96.7302371,43.5473579
"297",-97.0984,35.4122
"298",-74.0483,40.1949
"299",-112.356,33.6381
"300",-111.19399611,45.78020574
"301",-75.1448,39.998
"302",-74.151,40.7916
"303",-73.94516,40.80869
"304",-119.992,46.9467
"305",-112.0777,33.4482
"306",-74.07148649,41.49979552
"307",-90.6215,38.796
"308",-77.04757,38.80501
"309",-118.255928,34.0485611
"310",-117.2319379,32.8657387
"311",-82.36722,34.84635
"312",-84.51222525,39.10260613
"313",-98.2267771,32.2071527
"314",-81.6166,34.2777
"315",-96.7977,32.7774
"316",-95.02076,29.40252
"317",-95.02076,29.40252
"318",-77.0915,38.86218
"319",-73.38418,43.02814
"320",-82.5452,28.1883
"321",-81.8094,26.4322
"322",-84.4399406,39.0217283
"323",-87.62535092,41.91409114
"324",-96.7683309,32.849801
"325",-79.17584338,40.61310269
"326",-118.243,34.0522
"327",-96.9319154,33.3413944
"328",-117.12971121,32.72900527
"329",-96.7459,33.0504
"330",-77.4607,38.3032
"331",-78.8748,42.8958
"332",-75.6624122,41.408969
"333",-118.243,34.0522
"334",-114.4602,42.5701
"335",-80.88254124,34.11097196
"336",-81.58120953,28.41886964
